id,domain,family_or_school,name,input,role_or_form,range,tempo,commitment,damage_nature,equilibrium_pressure,locomotion_or_gesture,targeting,body_bias,finisher_candidate,inspiration_tags,animation_note
U001,unarmed,poing,jab_vertical,Light,opening,close,fast,low,Blunt,low,step_in,single,head_torso,false,The Raid|Sifu|Pak Mei,"Coup court vertical, coude près du corps; retour immédiat en garde."
U002,unarmed,poing,cross_hip,Light,pressure,close,fast,low,Blunt,medium,step_in,single,torso_head,false,Sifu|John Wick,Rotation hanche-épaules compacte; frappe droite traversante.
U003,unarmed,poing,backfist_snap,Light,interrupt,close,fast,low,Blunt,low,pivot,single,head,false,Kung-fu cinema|Sifu,"Revers court depuis un pivot, conçu pour interrompre."
U004,unarmed,main_ouverte,palm_chin,Heavy,launcher,close,medium,medium,Blunt,high,step_in,single,head,true,The Raid|Police Story,"Paume ascendante menton; extension courte, pas de suranimation."
U005,unarmed,poing,hammerfist_clavicle,Heavy,breaker,close,medium,medium,Blunt,high,stationary,single,shoulder_head,true,The Raid|Oldboy,Marteau descendant vers clavicule/épaule; sensation lourde.
U006,unarmed,poing,body_hook,Light,pressure,close,fast,low,Blunt,medium,sidestep,single,torso,false,Boxing cinema|Sifu,"Crochet compact au corps, déplacement latéral minimal."
U007,unarmed,coude,rising_elbow,Heavy,breaker,close,fast,medium,Blunt,high,step_in,single,head,true,The Raid|Tom-Yum-Goong,Coude montant très court; excellent après esquive.
U008,unarmed,coude,horizontal_elbow,Light,interrupt,close,fast,low,Blunt,medium,pivot,single,head,false,The Raid|SPL,Coude horizontal avec rotation buste; coupe visuelle nette.
U009,unarmed,coude,spinning_elbow,Heavy,crowd,close,medium,high,Blunt,high,spin,arc,head,true,The Raid|Muay Thai cinema,"Rotation contrôlée 180°, frappe large; engagement élevé."
U010,unarmed,genou,straight_knee,Heavy,breaker,close,medium,medium,Blunt,high,clinch_step,single,torso,true,The Raid|Tom-Yum-Goong,Genou direct au plexus; mains cadrent la cible sans clinch prolongé.
U011,unarmed,genou,rising_knee,Heavy,launcher,close,medium,high,Blunt,high,step_in,single,head_torso,true,Ong-Bak|The Raid,"Genou montant explosif, propulsion brève."
U012,unarmed,jambe,low_round_kick,Light,control,close_mid,fast,low,Blunt,medium,pivot,single,leg,false,Sifu|The Raid,Low kick sur cuisse/genou; récupération très rapide.
U013,unarmed,jambe,side_kick_push,Heavy,space,mid,medium,medium,Blunt,high,step_out,single,torso,false,Police Story|Sifu,Coup de pied latéral poussé pour recréer de la distance.
U014,unarmed,jambe,front_kick_snap,Light,interrupt,mid,fast,low,Blunt,medium,step_in,single,torso,false,Kung-fu cinema|Sifu,"Coup de pied frontal claqué, peu d'amplitude."
U015,unarmed,jambe,sweep_low,Heavy,knockdown,close,medium,high,Blunt,high,low_spin,arc,leg,true,Crouching Tiger Hidden Dragon|Sifu,Balayage bas lisible; centre de gravité abaissé.
U016,unarmed,jambe,axe_kick,Heavy,breaker,close_mid,slow,high,Blunt,very_high,stationary,single,head_shoulder,true,Taekwondo cinema|Fighting games,Jambe monte puis talon descend; gros engagement.
U017,unarmed,jambe,roundhouse_head,Heavy,damage,mid,medium,high,Blunt,high,pivot,single,head,true,The Raid|Fighting games,"Fouetté circulaire tête, anticipation marquée."
U018,unarmed,jambe,back_kick,Heavy,counter,mid,medium,medium,Blunt,high,turn,single,torso,false,Police Story|Sifu,Coup arrière compact contre poursuivant.
U019,unarmed,corps,shoulder_check,Light,space,close,fast,low,Blunt,medium,drive,single,torso,false,Sifu|John Wick,"Impact d'épaule pendant déplacement, conserve le flux."
U020,unarmed,corps,forearm_frame,Parry,defense,close,fast,low,Blunt,medium,micro_step,single,upper_body,false,The Raid|Sifu,Cadre avant-bras qui dévie plutôt que bloquer net.
U021,unarmed,defense,outside_parry,Parry,defense,close,fast,low,Blunt,high,micro_step,single,weapon_arm,false,Sifu|Pak Mei,Déviation extérieure courte suivie d'ouverture du centre.
U022,unarmed,defense,inside_parry,Parry,defense,close,fast,low,Blunt,high,micro_step,single,weapon_arm,false,Sifu|Kung-fu cinema,Déviation intérieure et recentrage immédiat.
U023,unarmed,counter,catch_and_hit,Parry,counter,close,fast,medium,Blunt,high,step_in,single,head_torso,false,The Raid|John Wick,Contrôle très bref du membre puis frappe immédiate; pas de grapple long.
