id,domain,family_or_school,name,input,role_or_form,range,tempo,commitment,damage_nature,equilibrium_pressure,locomotion_or_gesture,targeting,body_bias,finisher_candidate,inspiration_tags,animation_note
M001,magic,Lumiere,Eclat_direct,SkillAttack,projectile,mid_long,fast,low,Light,,hand_snap,single,,false,Hogwarts Legacy|Final Fantasy XVI,Un geste bref de paume projette un trait condensé; impact sec.
M002,magic,Lumiere,Rayon_tenu,SkillAttack,beam,long,medium,medium,Light,,two_hand_focus,line,,false,Final Fantasy XVI|Dragon's Dogma,Deux mains alignent un rayon tenu court; le corps absorbe le recul.
M003,magic,Lumiere,Sceau_au_sol,SkillAttack,zone,mid,medium,medium,Light,,downward_sigil,area,,false,Doctor Strange films|Hogwarts Legacy,Main trace un signe vers le sol; le cercle apparaît avant l'explosion.
M004,magic,Lumiere,Couronne_prismatique,SkillAttack,orbit,self_mid,medium,medium,Light,,circular_hand,multi,,false,Final Fantasy XVI|Magic action games,Fragments lumineux orbitent puis partent vers plusieurs cibles.
M005,magic,Lumiere,Lance_solaire,SkillAttack,pierce,long,slow,high,Light,,draw_and_thrust,line,,false,Dragon's Dogma|Final Fantasy XVI,Le lanceur 'tire' la lumière en arrière puis la propulse comme une lance.
M006,magic,Lumiere,Mur_de_clarte,SkillAttack,barrier,close_mid,medium,medium,Light,,cross_guard,cone,,false,Doctor Strange films|Hogwarts Legacy,Bras croisés puis ouverture brusque créant un mur frontal.
M007,magic,Lumiere,Flash_de_rupture,SkillAttack,burst,close,fast,medium,Light,,chest_pulse,radial,,false,Final Fantasy XVI|Control,Impulsion lumineuse depuis le centre du corps; brise Équilibre.
M008,magic,Lumiere,Marque_du_soleil,SkillAttack,mark,mid_long,fast,low,Light,,finger_point,single,,false,Hogwarts Legacy|Action magic games,Pointage précis puis sceau minimal sur cible; lisible et peu spectaculaire.
M009,magic,Lumiere,Pluie_d_aiguilles,SkillAttack,rain,area_long,slow,high,Light,,raise_and_drop,multi,,false,Dragon's Dogma|Final Fantasy XVI,"Main levée rassemble des traits, fermeture du poing déclenche la pluie."
M010,magic,Lumiere,Pas_photonique,SkillAttack,mobility,mid,fast,medium,Light,,forward_slice,self,,false,Final Fantasy XVI|Character action games,Le corps devient un trait lumineux sur une courte distance.
M011,magic,Lumiere,Explosion_d_aube,SkillAttack,detonation,mid,slow,high,Light,,two_stage_expand,area,,false,Final Fantasy XVI|Fantasy films,Charge entre les paumes puis expansion sphérique très brève.
M012,magic,Lumiere,Jugement_blanc,SkillAttack,finisher,mid_long,slow,very_high,Light,,vertical_sentence,single,,true,Final Fantasy XVI|Fantasy cinema,Bras haut puis descente sèche; colonne de lumière frappe la cible ouverte.
M013,magic,Cendres,Poussiere_mordante,SkillAttack,projectile,mid,fast,low,Ash,,finger_fan,cone,,false,Dark fantasy games|Dragon's Dogma,Éventail de doigts libérant une gerbe abrasive.
M014,magic,Cendres,Marque_cendreuse,SkillAttack,mark,mid_long,fast,low,Ash,,pinch_cast,single,,false,Elden Ring|Hogwarts Legacy,Pincement puis relâchement; une marque grise s'accroche à la cible.
M015,magic,Cendres,Nuage_funeraire,SkillAttack,zone,mid,medium,medium,Ash,,sweep_low,area,,false,Dark fantasy films|Elden Ring,Balayage de bras bas soulevant un nuage persistant.
M016,magic,Cendres,Combustion_grise,SkillAttack,detonation,mid_long,medium,medium,Ash,,close_fist,single,,false,Final Fantasy XVI|Action magic games,Poing qui se ferme pour faire imploser les charges déjà posées.
