id,domain,family_or_school,name,input,role_or_form,range,tempo,commitment,damage_nature,equilibrium_pressure,locomotion_or_gesture,targeting,body_bias,finisher_candidate,inspiration_tags,animation_note
P001,politics,Autorite,Presence_ecrasante,SkillAttack,radial_pressure,close_mid,fast,medium,Authority,high,upright_step_palm_down,radial,torso,false,Dune films|Control|samurai cinema,"Un pas sec vers l’avant, buste parfaitement droit; la paume descend comme si elle imposait un poids sur toute la zone."
P002,politics,Autorite,Ascendant,Light,marking_strike,close,fast,low,Impact,medium,weapon_or_fist_point_after_hit,single,torso,false,John Wick films|Sekiro|courtroom gesture,"Après la frappe, l’index ou la pointe d’arme reste une fraction de seconde dirigée vers la cible comme une désignation."
P003,politics,Autorite,Poids_du_rang,Heavy,crushing_blow,close_mid,medium,high,Authority,very_high,shoulders_square_downward_cut,arc,head,false,samurai cinema|God of War|Dune films,"Le corps se redresse avant une frappe verticale; l’impact est accompagné d’une impulsion d’Autorité qui accentue l’écrasement."
P004,politics,Autorite,Pas_souverain,Dodge,offensive_reposition,close_mid,fast,medium,Authority,low,short_forward_side_step,self,,false,Batman Arkham|Sifu|royal procession imagery,"Esquive courte sans roulade, menton relevé; la sortie de pas place immédiatement le corps dans une posture d’attaque."
P005,politics,Autorite,Refus,Parry,hard_parry,close,fast,low,Authority,very_high,minimal_forearm_or_weapon_stop,single,arms,false,Sekiro|Sifu|Dune films,"Déviation minimale, presque immobile; la main libre s’ouvre brièvement comme un refus absolu."
P006,politics,Autorite,Ordre_implicite,SkillAttack,interrupt,mid,fast,low,Authority,high,two_finger_raise,single,,false,Dune films|Jedi-like cinema|Control,"Deux doigts se lèvent sans élan; une impulsion sèche interrompt la cible comme si l’ordre précédait la voix."
P007,politics,Autorite,Marche_du_magistrat,SkillAttack,advancing_pressure,mid,medium,medium,Authority,medium,three_measured_steps,cone,torso,false,13 Assassins|Dune films|For Honor,"Trois pas mesurés créent trois pulsations successives; chaque pas est plus lourd visuellement que le précédent."
P008,politics,Autorite,Sceau_de_presence,SkillAttack,zone_anchor,mid,medium,medium,Authority,medium,open_palm_stamp_air,area,,false,Doctor Strange films|courtroom seals|Control,"La paume frappe un sceau invisible devant le torse; un glyphe politique sobre fixe une zone d’Autorité."
P009,politics,Autorite,Autorite_concentree,SkillAttack,single_burst,mid_long,medium,high,Authority,high,draw_hand_to_chest_then_point,single,torso,false,Dune films|Final Fantasy XVI|Control,"La main ramène l’énergie vers le sternum puis pointe brutalement la cible; tout le mouvement tient en deux temps nets."
P010,politics,Autorite,Trone_sans_siege,SkillAttack,power_state,self,slow,high,Authority,medium,feet_rooted_hands_behind_then_open,self,,false,Dune films|wuxia rulers|boss stance games,"Le personnage s’immobilise une seconde, ouvre lentement les mains puis relâche une onde; aucune posture de supplication, seulement la maîtrise."
P011,politics,Condamnation,Designation,Light,apply_condemnation,close_mid,fast,low,Judgment,low,strike_then_short_point,single,torso,false,courtroom gesture|Ghost of Tsushima|Sifu,"La frappe se termine par une désignation sèche; le geste doit pouvoir s’enchaîner sans casser le combo."
P012,politics,Condamnation,Marque_du_juge,SkillAttack,mark,mid_long,fast,low,Judgment,medium,index_draws_vertical_line,single,,false,Doctor Strange films|Dishonored|courtroom seals,"L’index trace une courte ligne verticale dans l’air, suivie d’un sceau qui s’imprime sur la cible."
P013,politics,Condamnation,Chef_d_accusation,Heavy,stack_condemnation,close,medium,medium,Judgment,high,two_stage_hit,single,torso,false,God of War|Sekiro|legal symbolism,"Première frappe ouvre la garde, seconde impulsion invisible applique la charge; les deux temps doivent être clairement distincts."
P014,politics,Condamnation,Temoin_silencieux,Parry,counter_mark,close,fast,low,Judgment,high,parry_then_open_hand,single,arms,false,Sekiro|Sifu|samurai cinema,"Après la parade, la main libre se retourne paume vers le haut comme si elle présentait une preuve; la marque apparaît instantanément."
P015,politics,Condamnation,Pas_du_procureur,Dodge,marking_evade,close_mid,fast,medium,Judgment,low,sidestep_with_tracking_point,single,,false,Batman Arkham|John Wick films|courtroom blocking,"Esquive latérale et pointage conservé sur l’adversaire; la tête ne quitte jamais la cible."
P016,politics,Condamnation,Accumulation_des_fautes,SkillAttack,multi_mark,mid,medium,medium,Judgment,medium,finger_count_sequence,multi,,false,Dune films|anime command gestures|Control,"Trois doigts se ferment successivement; chaque fermeture pose une charge sur une cible ou renforce la même."
P017,politics,Condamnation,Preuve_irrefutable,SkillAttack,weakpoint_reveal,mid_long,medium,medium,Judgment,medium,hands_frame_target,single,head,false,Control|detective cinema|Final Fantasy XVI,"Les deux mains cadrent brièvement la cible; une ligne visuelle isole son point faible avant la frappe suivante."
P018,politics,Condamnation,Faute_collective,SkillAttack,area_mark,mid,medium,high,Judgment,medium,wide_horizontal_indictment,cone,,false,Dune films|wuxia court scenes|action games,"Bras tendu balaie la salle comme une accusation collective; les sceaux apparaissent dans le sillage."
P019,politics,Condamnation,Coupable,SkillAttack,threshold_burst,mid,fast,medium,Judgment,high,fist_close_at_heart_level,single,torso,false,Control|Dishonored|dark fantasy games,"Poing qui se ferme à hauteur du cœur; les charges de Condamnation se contractent visiblement sur la cible."
P020,politics,Condamnation,Condamne,SkillAttack,state_trigger,mid_long,slow,high,Judgment,very_high,two_hands_form_frame_then_drop,single,,false,Dune films|Doctor Strange films|boss execution games,"Les mains forment un cadre carré puis chutent d’un coup; la cible entre dans l’état Condamné avec une pulsation lourde."
P021,politics,Commandements,A_genoux,SkillAttack,break_stance,mid,fast,medium,Authority,very_high,palm_down_snap,cone,legs,false,Dune films|Force-like cinema|Sekiro,"Paume vers le bas et flexion sèche du poignet; l’impulsion frappe surtout l’Équilibre et force les genoux à céder."
P022,politics,Commandements,Recule,SkillAttack,push,mid,fast,low,Force,high,short_forward_palm,cone,torso,false,Control|Jedi-like cinema|Batman Arkham,"Poussée de paume compacte, sans grand moulinet; la force part du bassin et projette les cibles."
P023,politics,Commandements,Approche,SkillAttack,pull,mid_long,fast,medium,Force,medium,hooking_fingers_toward_chest,single,torso,false,Control|Jedi-like cinema|Scorpion-like fighting games,"Main ouverte puis crochet des doigts vers soi; la cible est tirée dans une fenêtre de combo."
P024,politics,Commandements,Silence,SkillAttack,ability_interrupt,mid_long,fast,medium,Authority,high,finger_to_lips_then_cut,single,head,false,Dune films|Dishonored|stealth fantasy games,"Un doigt monte brièvement vers les lèvres puis tranche horizontalement; l’effet coupe la capacité ennemie."
P025,politics,Commandements,Cesse,Parry,command_counter,close_mid,fast,low,Authority,very_high,parry_with_open_palm_stop,single,arms,false,Sekiro|Sifu|Dune films,"La parade finit sur une paume verticale immobile; l’ennemi est stoppé net plutôt que repoussé."
P026,politics,Commandements,Tombe,SkillAttack,vertical_slam,mid,medium,high,Force,very_high,raised_hand_drop,single,head,false,Control|God of War|Dune films,"Main levée puis chute verticale très sèche; une colonne de force écrase la cible vers le sol."
