asset_id,priority,slot_or_family,entity_id,display_name,target_path,ratio,status,legal_status,da_role,replaces_or_fallback,notes
ART-LITD-V41-SYM-001,P0,brand.symbol,,Emblème LITD,res://assets/art/v41/ui/brand_symbol.webp,1:1,missing,TO_DOCUMENT,Identité visuelle sans texte,N/A,"Créer d'abord un symbole indépendant du titre commercial pour éviter un rework si le nom change."
ART-LITD-V41-BG-001,P0,bg.sanctuary,,Sanctuaire,res://assets/art/v41/backgrounds/sanctuary.webp,16:9,missing,TO_DOCUMENT,Ancre visuelle principale,assets/backgrounds/sanctuary.png,"Écran le plus structurant : monde, matériaux, architecture, palette et navigation."
ART-LITD-V41-HERO-001,P0,portrait.active_hero,starter_slot_01,UNASSIGNED STARTER 01,res://assets/art/v41/portraits/starter_slot_01.webp,3:4,blocked_quartet_reset,BLOCKED,Emplacement futur héros 1,N/A,"Ne pas créer ni finaliser avant validation canonique du nouveau quatuor; aucun héritage d'identité legacy."
ART-LITD-V41-HERO-002,P0,portrait.active_hero,starter_slot_02,UNASSIGNED STARTER 02,res://assets/art/v41/portraits/starter_slot_02.webp,3:4,blocked_quartet_reset,BLOCKED,Emplacement futur héros 2,N/A,"Ne pas créer ni finaliser avant validation canonique du nouveau quatuor; aucun héritage d'identité legacy."
ART-LITD-V41-HERO-003,P0,portrait.active_hero,starter_slot_03,UNASSIGNED STARTER 03,res://assets/art/v41/portraits/starter_slot_03.webp,3:4,blocked_quartet_reset,BLOCKED,Emplacement futur héros 3,N/A,"Ne pas créer ni finaliser avant validation canonique du nouveau quatuor; aucun héritage d'identité legacy."
ART-LITD-V41-HERO-004,P0,portrait.active_hero,starter_slot_04,UNASSIGNED STARTER 04,res://assets/art/v41/portraits/starter_slot_04.webp,3:4,blocked_quartet_reset,BLOCKED,Emplacement futur héros 4,N/A,"Ne pas créer ni finaliser avant validation canonique du nouveau quatuor; aucun héritage d'identité legacy."
ART-LITD-V41-BG-002,P0,bg.combat,,Cadre de combat,res://assets/art/v41/backgrounds/combat_frame.webp,16:9,missing,TO_DOCUMENT,Validation boucle de combat,assets/backgrounds/crypts.webp,"Doit préserver la lisibilité tactique, le gore systémique et les silhouettes."
ART-LITD-V41-UI-001,P0,frame.panel,,Cadre panneau,res://assets/art/v41/ui/panel_frame.webp,free,missing,TO_DOCUMENT,Langage UI global,procedural UI,"Nine-patch sobre : os/ivoire, métal usé, charbon, aucune carte mobile générique."
ART-LITD-V41-UI-002,P0,frame.tooltip,,Cadre info contextuelle,res://assets/art/v41/ui/tooltip_frame.webp,free,missing,TO_DOCUMENT,Langage contextuel,procedural UI,"Lisible tactile et PC, cohérent avec frame.panel."
ART-LITD-V41-BODY-001,P0,body.active_entity,humanoid,Anatomie humanoïde,res://assets/art/v41/anatomy/humanoid.webp,2:3,missing,TO_DOCUMENT,Base blessures F0-F4,procedural/body fallback,"Doit rendre clairement F3 inutilisable et F4 détruit/amputé."
ART-LITD-V41-BG-003,P1,bg.title,,Fond titre,res://assets/art/v41/backgrounds/title.webp,16:9,missing,TO_DOCUMENT,Première impression,assets/backgrounds/sanctuary.png,"Ne pas intégrer de wordmark définitif avant clearance du nom."
ART-LITD-V41-TXT-001,P1,brand.wordmark,,Wordmark commercial,res://assets/art/v41/ui/wordmark.webp,free,blocked_name_clearance,BLOCKED,Branding commercial,N/A,"Bloqué jusqu'au choix et à la clearance du titre."
ART-LITD-V41-BG-004,P1,bg.character,,Fiche personnage,res://assets/art/v41/backgrounds/character_sheet.webp,16:9,missing,TO_DOCUMENT,Contexte héros,assets/backgrounds/sanctuary.png,"Doit laisser le portrait et le schéma corporel dominer."
ART-LITD-V41-BG-005,P1,bg.archive,,Archive / bestiaire,res://assets/art/v41/backgrounds/archive.webp,16:9,missing,TO_DOCUMENT,Bestiaire et Rémanence,assets/backgrounds/sanctuary.png,"Ambiance connaissance conservée, pas bibliothèque fantasy générique."
ART-LITD-V41-BG-006,P1,bg.expedition,,Expédition,res://assets/art/v41/backgrounds/expedition.webp,16:9,missing,TO_DOCUMENT,Préparation et risque,assets/backgrounds/crypts.webp,"Doit annoncer le danger et la route sans surcharger l'UI."
ART-LITD-V41-CREA-001,P1,portrait.active_creature,hungry_ghoul,Goule affamée,res://assets/art/v41/creatures/hungry_ghoul.webp,3:4,missing,TO_DOCUMENT,Créature recrutée de référence,assets/enemies/enemy_01.webp,"Première créature pour valider évolution, blessures et recrutement."
ART-LITD-V41-CREA-002,P1,portrait.active_creature,oni,Oni,res://assets/art/v41/creatures/oni.webp,3:4,missing,TO_DOCUMENT,Créature massive de référence,assets/enemies/enemy_08.webp,"Valide masse, armure, rupture et lisibilité des lésions."
ART-LITD-V41-CREA-003,P1,portrait.active_creature,jorogumo,Jorōgumo,res://assets/art/v41/creatures/jorogumo.webp,3:4,missing,TO_DOCUMENT,Morphologie non standard,assets/enemies/enemy_10.webp,"Valide anatomie non humanoïde et silhouette spécifique."
ART-LITD-V41-BODY-002,P1,body.active_entity,humanoid_massive,Anatomie humanoïde massive,res://assets/art/v41/anatomy/humanoid_massive.webp,2:3,missing,TO_DOCUMENT,Validation Oni,N/A,"Doit suivre les zones réellement utilisées par le système."
ART-LITD-V41-BODY-003,P1,body.active_entity,insectoid,Anatomie insectoïde,res://assets/art/v41/anatomy/insectoid.webp,2:3,missing,TO_DOCUMENT,Validation Jorōgumo,N/A,"Interdiction du mannequin humanoïde par défaut."
ART-LITD-V41-ICON-001,P1,icon.body_part,body_part,Famille icônes corporelles,res://assets/art/v41/icons/body/{body_part}.webp,1:1,missing,TO_DOCUMENT,Feedback blessures,N/A,"Icônes lisibles sans dépendre uniquement de la couleur."
ART-LITD-V41-BG-007,P2,bg.overlay,,Overlay,res://assets/art/v41/backgrounds/overlay.webp,16:9,missing,TO_DOCUMENT,Contextuels/options,N/A,"Faible contraste décoratif pour garder le texte prioritaire."
ART-LITD-V41-BG-008,P2,bg.results,,Résultats,res://assets/art/v41/backgrounds/results.webp,16:9,missing,TO_DOCUMENT,Conséquences de run,assets/backgrounds/sanctuary.png,"Doit soutenir blessures, pertes, Rémanence et récompenses."
ART-LITD-V41-BG-009,P2,bg.sanctuary_dim,,Sanctuaire assombri,res://assets/art/v41/backgrounds/sanctuary_dim.webp,16:9,missing,TO_DOCUMENT,Variante UI du hub,ART-LITD-V41-BG-001,"Dérivé autorisé uniquement après validation du Sanctuaire final."
