id,domain,family_or_school,name,input,role_or_form,range,tempo,commitment,damage_nature,equilibrium_pressure,locomotion_or_gesture,targeting,body_bias,finisher_candidate,inspiration_tags,animation_note
W001,weapon,Sabre,draw_cut,Light,opening,close_mid,fast,low,Slash,medium,step_in,single,torso_head,true,13 Assassins|Ghost of Tsushima,"Coupe tirée compacte, trajectoire claire et rapide."
W002,weapon,Sabre,return_cut,Light,pressure,close_mid,fast,low,Slash,medium,pivot,single,torso,true,Samurai cinema|Ghost of Tsushima,Coupe de retour depuis la fin du premier arc.
W003,weapon,Sabre,diagonal_commit,Heavy,damage,mid,medium,medium,Slash,high,step_in,single,shoulder_torso,true,13 Assassins|Sekiro,Grande diagonale avec engagement du bassin.
W004,weapon,Sabre,rising_cut,Heavy,launcher,close_mid,medium,medium,Slash,high,step_in,single,torso_head,true,Sekiro|Nioh,Taille montante exploitant une ouverture basse.
W005,weapon,Sabre,blade_deflect,Parry,defense,close,fast,low,Slash,high,micro_step,single,weapon,false,Sekiro|Ghost of Tsushima,"Déviation au fort de la lame, mouvement minimal."
W006,weapon,Sabre,slip_draw,Dodge,reposition,close_mid,fast,low,Slash,low,sidestep,single,none,false,Samurai cinema|Sekiro,Pas hors ligne en gardant la lame prête.
W007,weapon,Sabre,iai_burst,SkillAttack,burst,mid,fast,high,Slash,very_high,dash,line,torso_head,true,Samurai cinema|Fighting games,Accélération brève et coupe unique; forte récupération.
W008,weapon,Sabre,execution_arc,SkillAttack,finish,close,medium,high,Slash,very_high,step_through,single,neck_torso,true,13 Assassins|Ghost of Tsushima,"Arc contrôlé de finisher, réservé à cible ouverte."
W009,weapon,Longsword,short_guard_cut,Light,opening,close_mid,fast,low,Slash,medium,step_in,single,arm_torso,true,European sword cinema|For Honor,Coupe courte depuis garde compacte.
W010,weapon,Longsword,pommel_follow,Light,interrupt,close,fast,low,Blunt,medium,step_in,single,head,false,HEMA|Action cinema,Coup de pommeau bref dans la continuité.
W011,weapon,Longsword,descending_hew,Heavy,damage,mid,medium,medium,Slash,high,advance,single,shoulder_torso,true,HEMA|For Honor,Taille descendante à deux mains.
W012,weapon,Longsword,half_sword_thrust,Heavy,breaker,mid,medium,high,Pierce,very_high,step_in,single,torso,false,HEMA|Historical action,Prise raccourcie et estoc précis; usage sur armure.
