asset_id,path,type,source,creator,ownership,license,license_evidence,contract_ref,ai_used,ai_tool,third_party_components,commercial_ok,attribution_required,status,notes
ASSET-LITD-0001,assets/backgrounds/crypts.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0002,assets/backgrounds/forgotten_city.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0003,assets/backgrounds/ossuary.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0004,assets/backgrounds/sanctuary.png,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0005,assets/backgrounds/void_temple.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0006,assets/enemies/enemy_01.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0007,assets/enemies/enemy_02.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0008,assets/enemies/enemy_03.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0009,assets/enemies/enemy_04.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0010,assets/enemies/enemy_05.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0011,assets/enemies/enemy_06.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0012,assets/enemies/enemy_07.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0013,assets/enemies/enemy_08.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0014,assets/enemies/enemy_09.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0015,assets/enemies/enemy_10.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0016,assets/enemies/enemy_11.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0017,assets/enemies/enemy_12.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0018,assets/enemies/enemy_13.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0019,assets/enemies/enemy_14.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0020,assets/enemies/enemy_15.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0021,assets/enemies/enemy_16.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0022,assets/enemies/enemy_17.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0023,assets/enemies/enemy_18.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0024,assets/enemies/enemy_19.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0025,assets/enemies/enemy_20.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0026,assets/enemies/enemy_21.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0027,assets/enemies/enemy_22.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0028,assets/enemies/enemy_23.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0029,assets/enemies/enemy_24.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0030,assets/enemies/enemy_25.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0031,assets/enemies/enemy_26.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0032,assets/enemies/enemy_27.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0033,assets/enemies/enemy_28.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0034,assets/enemies/enemy_29.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0035,assets/enemies/enemy_30.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0036,assets/enemies/enemy_31.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
ASSET-LITD-0037,assets/enemies/enemy_32.webp,IMAGE,REPOSITORY,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,N/A,TO_VERIFY,TO_VERIFY,TO_VERIFY,UNVERIFIED,TO_VERIFY,ORANGE,"Existing binary asset; provenance evidence must be attached before release."
